scenario,status,raw_test_alerts,input_module1_objects,candidate_objects,module2_reduction_rate,module1_and_2_object_reduction_from_raw,attack_member_recall,nonattack_member_suppression_rate
fox,completed,462814,11147,1270,0.8860680003588409,0.9972559170638745,0.9999904742399635,0.9334498834498834
harrison,completed,561457,54115,15536,0.712907696572115,0.9723291365144615,1.0,0.5958329960184578
russellmitchell,completed,38839,8492,817,0.9037918040508715,0.9789644429568217,1.0,0.9152469423621822
santos,completed,107224,32759,11446,0.6505998351598035,0.8932515108557786,1.0,0.6791138779291893
shaw,completed,58013,16640,1548,0.9069711538461539,0.9733163256511471,1.0,0.938038959039113
wardbeck,completed,74414,23365,2568,0.8900920179756046,0.9654903647163168,0.9998359849106118,0.9219228010597655
wheeler,completed,579396,52690,4584,0.9130005693680016,0.9920883126566287,1.0,0.9118631086746211
wilson,completed,595419,51431,4586,0.9108319884894325,0.9922978608341353,1.0,0.9284460872162486
