scenario,candidate_objects,true_alert,false_positive,needs_review,TP,TN,FP,FN,needs_review_attack,needs_review_nonattack,decided_accuracy,decided_attack_precision,decided_attack_recall,decided_attack_f1,decided_false_positive_recall,decision_coverage,knowledge_hit_objects,module3_object_reduction_rate,end_to_end_object_reduction_rate,attack_member_recall,nonattack_member_suppression_rate
fox,1270,54,1216,0,28,1213,26,3,0,0,0.9771653543307086,0.5185185185185185,0.9032258064516129,0.6588235294117647,0.9790153349475383,1.0,495,0.9574803149606299,0.9998833224578341,0.999983329919936,0.9860606060606061
harrison,15536,126,15410,0,85,15404,41,6,0,0,0.9969747682801235,0.6746031746031746,0.9340659340659341,0.7834101382488479,0.9973454192295241,1.0,14459,0.9918898043254377,0.9997755838826482,0.99998590159312,0.994185918146559
russellmitchell,817,50,767,0,38,760,12,7,0,0,0.9767441860465116,0.76,0.8444444444444444,0.8,0.9844559585492227,1.0,419,0.9388004895960832,0.9987126342078838,0.9993611972987771,0.9952655930562031
santos,11446,133,11313,0,55,11306,78,7,0,0,0.9925738249170015,0.41353383458646614,0.8870967741935484,0.5641025641025641,0.9931482782853127,1.0,9514,0.9883802201642495,0.9987596060583451,0.9993730407523511,0.9917238363922173
shaw,1548,91,1457,0,54,1448,37,9,0,0,0.9702842377260982,0.5934065934065934,0.8571428571428571,0.7012987012987013,0.9750841750841751,1.0,703,0.9412144702842378,0.9984313860686398,0.9985150965187263,0.9933977517708654
wardbeck,2568,60,2508,0,44,2500,16,8,0,0,0.9906542056074766,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.9936406995230525,1.0,976,0.9766355140186916,0.9991937001101944,0.998523864195506,0.9974969626886426
wheeler,4584,141,4443,0,48,4439,93,4,0,0,0.9788394415357766,0.3404255319148936,0.9230769230769231,0.4974093264248704,0.9794792586054722,1.0,3157,0.9692408376963351,0.9997566431249094,0.9999907095143863,0.9908900354724283
wilson,4586,54,4532,0,37,4529,17,3,0,0,0.9956389010030527,0.6851851851851852,0.925,0.7872340425531915,0.9962604487461505,1.0,3327,0.9882250327082425,0.9999093075632454,0.9999930989268832,0.9967144563918757
