scenario,status,raw_test_alerts,after_aggregation_objects,after_hat_objects,aggregation_reduction_rate,total_reduction_rate,attack_member_recall,nonattack_member_suppression_rate
fox,completed,462814,35522,11147,0.9232477842070465,0.975914730323629,0.9999952371199817,0.6394638694638695
harrison,completed,561457,86126,54115,0.8466026783885497,0.9036168397579868,1.0,0.2900564481111594
russellmitchell,completed,38839,22061,8492,0.4319884652025026,0.7813537938669893,1.0,0.5988666116710305
santos,completed,107224,65271,32759,0.3912650152950832,0.6944807132731478,1.0,0.4067500182179702
shaw,completed,58013,40833,16640,0.29614052022822474,0.7131677382655611,1.0,0.5650023098244533
wardbeck,completed,74414,53012,23365,0.2876071706936867,0.6860133845781707,0.9998359849106118,0.5652326653687955
wheeler,completed,579396,113514,52690,0.8040821821344987,0.9090604698686218,1.0,0.588452649682898
wilson,completed,595419,114498,51431,0.8077018032679508,0.9136221719495011,1.0,0.6317577658303465
